source_frame,source_time_s,angle_000_cost,angle_015_cost,angle_030_cost,angle_045_cost,angle_060_cost,angle_075_cost,angle_090_cost,angle_105_cost,angle_120_cost,angle_135_cost,angle_150_cost,angle_165_cost,angle_180_cost,angle_195_cost,angle_210_cost,angle_225_cost,angle_240_cost,angle_255_cost,angle_270_cost,angle_285_cost,angle_300_cost,angle_315_cost,angle_330_cost,angle_345_cost
0,0.000000,0.09175984,0.22408584,0.22460609,0.21115972,0.22135815,0.24215130,0.28139669,0.27472074,0.27571717,0.24710539,0.24856690,0.27667968,0.26513691,0.29978422,0.27988026,0.27805154,0.30045927,0.31563403,0.30152704,0.29371864,0.31779343,0.27588605,0.28542753,0.26120708
1,0.033333,0.13861496,0.24137651,0.24644298,0.21846136,0.25050287,0.26048218,0.29118439,0.30014179,0.29650356,0.26453426,0.28323902,0.28667677,0.30738564,0.35364563,0.33950754,0.29536319,0.35588526,0.36864940,0.35677573,0.35591227,0.37315005,0.27949921,0.33843986,0.32027672
2,0.066667,0.15137031,0.23190644,0.24184395,0.21892539,0.24432882,0.25034739,0.28671418,0.29140531,0.28678488,0.26284524,0.26931298,0.28122964,0.30758203,0.36325028,0.35410778,0.28639225,0.37033941,0.38038781,0.36904130,0.36873758,0.38577061,0.27591448,0.35237380,0.33173193
3,0.100000,0.17990951,0.22534811,0.23401577,0.20847703,0.23333984,0.23807939,0.27921054,0.28099854,0.27655488,0.25213756,0.27710147,0.29677297,0.31748634,0.37676229,0.36495858,0.28073109,0.38108644,0.39579361,0.38345023,0.37882330,0.39748115,0.26036534,0.36113047,0.34424062
4,0.133333,0.17482289,0.22488321,0.24357302,0.20884859,0.23302193,0.24192660,0.27861014,0.28111746,0.27743466,0.25202647,0.26875142,0.28929468,0.30989954,0.38000289,0.36482250,0.27970099,0.38159268,0.38005566,0.38525898,0.38142861,0.38789373,0.26039820,0.35896399,0.34879579
5,0.166667,0.19507011,0.22509398,0.23389996,0.21658015,0.23148506,0.24008133,0.27573878,0.28269808,0.27800531,0.25261465,0.27964537,0.30120981,0.32029166,0.37742575,0.36694633,0.28142823,0.37857315,0.39302794,0.38406713,0.37970965,0.39463612,0.26603121,0.37012475,0.34816290
6,0.200000,0.20140820,0.22295317,0.23569254,0.21274735,0.23774001,0.24624900,0.27896685,0.28629003,0.28252539,0.25087119,0.27746351,0.30324731,0.32302431,0.38268919,0.36842526,0.28383347,0.38709470,0.39551855,0.39037438,0.37900071,0.39529495,0.26617886,0.37367492,0.34968503
7,0.233333,0.20361869,0.22833456,0.24680537,0.21800861,0.23366051,0.24738165,0.26722526,0.27367017,0.27782204,0.25378364,0.27809473,0.30360122,0.32209205,0.38887480,0.37788314,0.28492064,0.39879184,0.39560358,0.40034954,0.39438665,0.39512139,0.25465059,0.36826119,0.36237867
8,0.266667,0.20682885,0.22810339,0.24229959,0.20864741,0.23777873,0.24219406,0.26706841,0.27739212,0.27860968,0.25146524,0.27898575,0.29995009,0.32431546,0.38800460,0.37609097,0.28572793,0.39443375,0.39544501,0.39631314,0.39087164,0.39071354,0.25301121,0.37028912,0.35893348
9,0.300000,0.21318959,0.22169515,0.24666499,0.21388792,0.23363846,0.24974969,0.27203593,0.27896323,0.28380004,0.24789683,0.27259169,0.30539056,0.31752192,0.39178982,0.37520612,0.28194267,0.39827845,0.39577122,0.38745125,0.38724715,0.39184864,0.25229245,0.36373756,0.36250301
